CUTM1K,Longitude,Latitude,Taxonomic groups,Genus,Species,Confirmed
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Holcus,Holcus mollis,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Hyacinthoides,Hyacinthoides hispanica,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Hypericum,Hypericum pulchrum,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Jasione,Jasione montana,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Juncus,Juncus acutiflorus,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Juncus,Juncus effusus,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Juncus,Juncus inflexus,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Juncus,Juncus squarrosus,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Jynx,Jynx torquilla,"1"
PG8250,-6.7983498243,41.9834567978,Reptiles,Lacerta,Lacerta schreiberi,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Lanius,Lanius collurio,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Lanius,Lanius meridionalis,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Leontodon,Leontodon saxatilis,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Linaria,Linaria cannabina,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Linaria,Linaria elegans,"1"
PG8250,-6.7983498243,41.9834567978,Amphibians,Lissotriton,Lissotriton boscai,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Logfia,Logfia minima,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Lophophanes,Lophophanes cristatus,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Lotus,Lotus pedunculatus,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Lullula,Lullula arborea,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Luscinia,Luscinia megarhynchos,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Cyanecula,Luscinia svecica,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Luzula,Luzula lactea,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Luzula,Luzula multiflora,"1"
PG8250,-6.7983498243,41.9834567978,Mammals,Martes,Martes martes,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Merops,Merops apiaster,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Micropyrum,Micropyrum patens,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Molineriella,Molineriella laevis,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Molinia,Molinia caerulea,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Monticola,Monticola saxatilis,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Monticola,Monticola solitarius,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Motacilla,Motacilla alba,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Motacilla,Motacilla flava,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Muscicapa,Muscicapa striata,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Narcissus,Narcissus bulbocodium,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Nardus,Nardus stricta,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Oenanthe,Oenanthe oenanthe,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Oriolus,Oriolus oriolus,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Parentucellia,Parentucellia viscosa,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Parus,Parus major,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Passer,Passer domesticus,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Pedicularis,Pedicularis sylvatica,"1"
PG8250,-6.7983498243,41.9834567978,Amphibians,Pelophylax,Pelophylax perezi,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Peucedanum,Peucedanum lancifolium,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Phalacrocorax,Phalacrocorax carbo,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Phoenicurus,Phoenicurus ochruros,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Phylloscopus,Phylloscopus bonelli,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Phylloscopus,Phylloscopus collybita,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Phylloscopus,Phylloscopus ibericus,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Phylloscopus,Phylloscopus trochilus,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Pica,Pica pica,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Plantago,Plantago lanceolata,"1"
PG8250,-6.7983498243,41.9834567978,Reptiles,Podarcis,Podarcis bocagei,"1"
PG8250,-6.7983498243,41.9834567978,Reptiles,Podarcis,Podarcis guadarramae,"1"
PG8250,-6.7983498243,41.9834567978,Birds,Podiceps,Podiceps cristatus,"1"
PG8250,-6.7983498243,41.9834567978,Flora (vascular plants),Polygala,Polygala microphylla,"1"
